image_name,scene,pitch,yaw,altitude,pred_error,ref_type,strategy,matching_method,inlier_count
VG_data_DJI_20240917112441_0393_D.JPG,pkl_QingZhou_2024,-46.8,-179.4,106.8,5.139118998982638,LOW,TopN_Re-rank,Roma,105
VG_data_DJI_20240917112445_0394_D.JPG,pkl_QingZhou_2024,-46.8,-179.2,106.7,7.347108377166389,LOW,TopN_Re-rank,Roma,74
VG_data_DJI_20240917112447_0395_D.JPG,pkl_QingZhou_2024,-46.8,176.0,106.7,11.36142899372637,LOW,TopN_Re-rank,Roma,143
VG_data_DJI_20240917112450_0396_D.JPG,pkl_QingZhou_2024,-63.4,175.3,106.7,15.120308696776652,LOW,TopN_Re-rank,Roma,131
VG_data_DJI_20240917112452_0397_D.JPG,pkl_QingZhou_2024,-66.3,175.3,106.7,38.24974335045023,LOW,TopN_Re-rank,Roma,131
VG_data_DJI_20240917112453_0398_D.JPG,pkl_QingZhou_2024,-66.3,179.4,106.8,9.785288369906858,LOW,TopN_Re-rank,Roma,101
VG_data_DJI_20240917112456_0399_D.JPG,pkl_QingZhou_2024,-66.3,-177.7,106.8,73.43822996908501,LOW,TopN_Re-rank,Roma,85
VG_data_DJI_20240917112458_0400_D.JPG,pkl_QingZhou_2024,-66.3,-177.7,106.7,185.2641008811558,LOW,TopN_Re-rank,Roma,65
VG_data_DJI_20240917112501_0401_D.JPG,pkl_QingZhou_2024,-90.0,-177.7,106.7,45.67735668853437,LOW,TopN_Re-rank,Roma,176
VG_data_DJI_20240917112503_0402_D.JPG,pkl_QingZhou_2024,-90.0,-177.7,107.9,14.526316763557594,LOW,TopN_Re-rank,Roma,129
VG_data_DJI_20240917112505_0403_D.JPG,pkl_QingZhou_2024,-90.0,-177.7,111.6,69.13496757127061,LOW,TopN_Re-rank,Roma,124
VG_data_DJI_20240917112507_0404_D.JPG,pkl_QingZhou_2024,-89.5,-177.7,115.0,2.9411652447193606,LOW,TopN_Re-rank,Roma,174
VG_data_DJI_20240917112509_0405_D.JPG,pkl_QingZhou_2024,-89.5,-177.7,117.1,24.039080154060333,LOW,TopN_Re-rank,Roma,182
VG_data_DJI_20240917112511_0406_D.JPG,pkl_QingZhou_2024,-89.5,-177.7,118.9,5.178421955537713,LOW,TopN_Re-rank,Roma,236
VG_data_DJI_20240917112513_0407_D.JPG,pkl_QingZhou_2024,-89.5,-177.7,120.7,11.812261583170962,LOW,TopN_Re-rank,Roma,114
VG_data_DJI_20240917112515_0408_D.JPG,pkl_QingZhou_2024,-89.5,-177.7,121.0,31.410694928613516,LOW,TopN_Re-rank,Roma,120
VG_data_DJI_20240917112518_0409_D.JPG,pkl_QingZhou_2024,-89.5,-178.0,120.2,17.414523780689244,LOW,TopN_Re-rank,Roma,115
VG_data_DJI_20240917112521_0410_D.JPG,pkl_QingZhou_2024,-89.5,-178.0,113.4,9.304242413976922,LOW,TopN_Re-rank,Roma,160
VG_data_DJI_20240917112522_0411_D.JPG,pkl_QingZhou_2024,-89.5,-178.0,113.3,5.471776022638217,LOW,TopN_Re-rank,Roma,265
VG_data_DJI_20240917112524_0412_D.JPG,pkl_QingZhou_2024,-89.5,-178.0,113.3,12.90875081489818,LOW,TopN_Re-rank,Roma,185
VG_data_DJI_20240917112525_0413_D.JPG,pkl_QingZhou_2024,-89.5,-178.0,113.3,15.689938034984477,LOW,TopN_Re-rank,Roma,210
VG_data_DJI_20240917112528_0414_D.JPG,pkl_QingZhou_2024,-89.5,168.1,113.3,39.25222124808144,LOW,TopN_Re-rank,Roma,159
VG_data_DJI_20240917112531_0415_D.JPG,pkl_QingZhou_2024,-89.5,98.0,112.5,4.316067678848018,LOW,TopN_Re-rank,Roma,302
VG_data_DJI_20240917112533_0416_D.JPG,pkl_QingZhou_2024,-89.5,93.5,112.5,17.27230185607929,LOW,TopN_Re-rank,Roma,90
