image_name,scene,pitch,yaw,altitude,pred_error,ref_type,strategy,matching_method,inlier_count,retrieval_time,match_time,pnp_time,total_time
DJI_20240917112155_0351_D.JPG,QZ_Town,-34.5,-155.8,38.4,24.20021956337468,HIGH,TopN_Re-rank,RoMa,103,0.013801282698955012,"[0.9735622406005859, 0.7601890563964844, 0.6931400299072266, 0.9335920810699463, 0.6728057861328125]","[0.010527849197387695, 0.008507966995239258, 0.009516477584838867, 0.01099705696105957, 0.01000070571899414]",7.42333722114563
DJI_20240917112200_0352_D.JPG,QZ_Town,-34.7,-155.8,38.4,140.4703705862013,HIGH,TopN_Re-rank,RoMa,212,0.013020666079087691,"[0.8623020648956299, 0.8240327835083008, 0.6689317226409912, 0.6946282386779785, 0.7134528160095215]","[0.011002540588378906, 0.009514808654785156, 0.009717226028442383, 0.010006904602050781, 0.009514570236206055]",6.990271329879761
DJI_20240917112204_0353_D.JPG,QZ_Town,-34.7,-155.8,41.4,364.97889686426925,HIGH,TopN_Re-rank,RoMa,345,0.014857374171100597,"[0.7236485481262207, 0.6886875629425049, 0.8549435138702393, 0.735645055770874, 0.6708030700683594]","[0.011999368667602539, 0.012998342514038086, 0.009999752044677734, 0.012201309204101562, 0.009999990463256836]",6.8583338260650635
DJI_20240917112218_0354_D.JPG,QZ_Town,-45.5,-155.8,65.7,3.3214315972302333,HIGH,TopN_Re-rank,RoMa,507,0.014209194343631007,"[0.7680821418762207, 0.6096582412719727, 0.740281343460083, 0.7476241588592529, 0.8140249252319336]","[0.009998321533203125, 0.00999903678894043, 0.008998870849609375, 0.009000778198242188, 0.01099848747253418]",5.753199577331543
DJI_20240917112223_0355_D.JPG,QZ_Town,-45.5,118.2,71.9,6.464071651607615,HIGH,TopN_Re-rank,RoMa,316,0.013877817562648229,"[0.9049313068389893, 0.8338289260864258, 0.7801988124847412, 0.647817850112915, 0.8927130699157715]","[0.010000467300415039, 0.014001846313476562, 0.011999845504760742, 0.016998767852783203, 0.011000394821166992]",5.808347940444946
DJI_20240917112252_0363_D.JPG,QZ_Town,-30.8,85.2,72.8,10.396562109681769,HIGH,TopN_Re-rank,RoMa,137,0.014375096873233193,"[0.6959824562072754, 0.6640031337738037, 0.6138062477111816, 0.6297180652618408, 0.6393184661865234]","[0.011002779006958008, 0.010563850402832031, 0.01000213623046875, 0.01126861572265625, 0.010001420974731445]",4.436039686203003
DJI_20240917112254_0364_D.JPG,QZ_Town,-45.6,85.2,72.8,9.165315620349542,HIGH,TopN_Re-rank,RoMa,144,0.013449198376815932,"[0.718268632888794, 0.7296082973480225, 0.7107377052307129, 0.6303799152374268, 0.7140669822692871]","[0.010999917984008789, 0.009002447128295898, 0.009998321533203125, 0.013069629669189453, 0.009999752044677734]",5.383523464202881
DJI_20240917112256_0365_D.JPG,QZ_Town,-45.6,71.4,72.7,11.138802923711614,HIGH,TopN_Re-rank,RoMa,185,0.013591834143096325,"[0.7384154796600342, 0.6242971420288086, 0.6662871837615967, 0.7036247253417969, 0.7311136722564697]","[0.009999275207519531, 0.010000467300415039, 0.014024496078491211, 0.011010408401489258, 0.010999441146850586]",5.21181321144104
DJI_20240917112259_0366_D.JPG,QZ_Town,-42.5,71.4,72.8,4.790138255804052,HIGH,TopN_Re-rank,RoMa,238,0.013805722703739089,"[0.8352935314178467, 0.6745655536651611, 0.6479771137237549, 0.6636557579040527, 0.7659287452697754]","[0.011517047882080078, 0.012000799179077148, 0.01100015640258789, 0.009000301361083984, 0.008998632431030273]",5.334479808807373
DJI_20240917112301_0367_D.JPG,QZ_Town,-39.6,71.4,72.8,12.169981680743485,HIGH,TopN_Re-rank,RoMa,257,0.013752920487347772,"[0.687929630279541, 0.6217141151428223, 0.8350620269775391, 0.689525842666626, 0.7094058990478516]","[0.012535333633422852, 0.009515523910522461, 0.010524749755859375, 0.008510112762451172, 0.011527061462402344]",5.096320867538452
DJI_20240917112304_0368_D.JPG,QZ_Town,-39.6,62.0,72.8,9.627887515561085,HIGH,TopN_Re-rank,RoMa,202,0.014507105184155841,"[0.7319262027740479, 0.7652583122253418, 1.14909029006958, 0.627267599105835, 0.6137852668762207]","[0.01632833480834961, 0.011516571044921875, 0.00951075553894043, 0.008511066436767578, 0.01001119613647461]",5.516824245452881
DJI_20240917112306_0369_D.JPG,QZ_Town,-39.6,49.0,72.8,11.353775372935166,HIGH,TopN_Re-rank,RoMa,328,0.013558850055787622,"[0.7556724548339844, 0.787813663482666, 0.7573080062866211, 0.6425800323486328, 1.3754339218139648]","[0.01200103759765625, 0.009999513626098633, 0.010998725891113281, 0.013002634048461914, 0.011000394821166992]",5.795050382614136
DJI_20240917112308_0370_D.JPG,QZ_Town,-39.6,32.3,73.3,11.735330177569269,HIGH,TopN_Re-rank,RoMa,438,0.014418790866802264,"[0.6783747673034668, 0.7920942306518555, 0.6706540584564209, 0.7011537551879883, 0.6261048316955566]","[0.010866880416870117, 0.012001514434814453, 0.009999752044677734, 0.010003805160522461, 0.00999903678894043]",5.002348184585571
DJI_20240917112310_0371_D.JPG,QZ_Town,-39.6,28.3,77.7,11.629571934709197,HIGH,TopN_Re-rank,RoMa,482,0.0137159354250196,"[0.6739249229431152, 0.6674387454986572, 0.6466121673583984, 0.8785479068756104, 0.9032924175262451]","[0.013006210327148438, 0.013000249862670898, 0.009000301361083984, 0.01300048828125, 0.009996652603149414]",5.115216493606567
DJI_20240917112312_0372_D.JPG,QZ_Town,-39.6,13.0,78.4,11.742665912647468,HIGH,TopN_Re-rank,RoMa,116,0.013645906448364258,"[1.1529045104980469, 0.9233558177947998, 0.6306707859039307, 0.662466287612915, 0.9413115978240967]","[0.010000467300415039, 0.010000228881835938, 0.008997201919555664, 0.009000539779663086, 0.011002302169799805]",5.68116021156311
DJI_20240917112313_0373_D.JPG,QZ_Town,-39.6,10.0,79.1,10.896633703988345,HIGH,TopN_Re-rank,RoMa,146,0.01381560062107287,"[0.6253488063812256, 0.8715248107910156, 0.7756781578063965, 0.7245612144470215, 0.7639362812042236]","[0.011002063751220703, 0.012001514434814453, 0.011998414993286133, 0.007999897003173828, 0.011999845504760742]",5.170459747314453
DJI_20240917112315_0374_D.JPG,QZ_Town,-39.6,-13.8,79.2,11.639475277242244,HIGH,TopN_Re-rank,RoMa,246,0.014074105721015435,"[0.8310322761535645, 0.6736154556274414, 0.8789553642272949, 0.7146763801574707, 0.746720552444458]","[0.009999513626098633, 0.009998798370361328, 0.010000944137573242, 0.007999420166015625, 0.010997772216796875]",5.304120779037476
DJI_20240917112317_0375_D.JPG,QZ_Town,-39.6,-13.8,79.1,7.031966933956285,HIGH,TopN_Re-rank,RoMa,173,0.014499150313340224,"[0.6420261859893799, 0.8875625133514404, 0.6564760208129883, 0.8052554130554199, 0.6400001049041748]","[0.0110015869140625, 0.012003421783447266, 0.009998083114624023, 0.009999990463256836, 0.009999513626098633]",5.150206565856934
